"individual","trait","trait_id","population"
1,-1.41573073886977,1,1
2,-1.54929629791895,1,1
3,-1.49213380633422,1,1
4,-1.63715626920896,1,1
5,-1.18102106016795,1,1
6,-2.03868581744069,1,1
7,-1.32570372690003,1,1
8,-1.60880119574682,1,1
9,-0.341652722187988,1,1
10,-0.705556587041201,1,1
11,-1.75961301049847,1,1
12,-1.31928579949608,1,1
13,-1.71557506941921,1,1
14,-1.26566700482057,1,1
15,-0.993122175232686,1,1
16,-0.641920115098307,1,1
17,-1.47595360182966,1,1
18,-1.07612651148593,1,1
19,-1.09921743479301,1,1
20,-1.28222232089314,1,1
21,-1.28391639746248,1,1
22,-1.88097843374186,1,1
23,-1.5244940398848,1,1
24,-1.55260226292485,1,1
25,-1.04599948583087,1,1
26,-1.12830334019419,1,1
27,-1.66981357319229,1,1
28,-1.28451330122426,1,1
29,-1.70573663716173,1,1
30,-1.41898042158825,1,1
31,-1.41548422318078,1,1
32,-1.64203404405245,1,1
33,-1.33459704654373,1,1
34,-1.63922657282696,1,1
35,-1.22959512259854,1,1
36,-2.11417728940771,1,1
37,-1.70313877481488,1,1
38,-1.54317508833906,1,1
39,-0.818229624974777,1,1
40,-1.40852014932381,1,1
41,-1.63967539064337,1,1
42,-2.19212487448044,1,1
43,-1.69830764073395,1,1
44,-1.54927079134438,1,1
45,-1.53670833557324,1,1
46,-1.63251632898282,1,1
47,-1.9182107151748,1,1
48,-1.87689461006292,1,1
49,-1.65967697496776,1,1
50,-0.892217266700722,1,1
51,-0.420278485148203,1,2
52,-0.564433462037645,1,2
53,-0.774281756534378,1,2
54,-0.903439173849315,1,2
55,-1.46749902883324,1,2
56,-1.15602499364012,1,2
57,0.306180834992078,1,2
58,-0.727680049370065,1,2
59,-1.22567646024313,1,2
60,-1.17295244686552,1,2
61,-1.55085417373267,1,2
62,-1.71251513863754,1,2
63,-1.48091723991511,1,2
64,-1.22957531154965,1,2
65,-1.86799890344425,1,2
66,-1.91279643711625,1,2
67,-0.60763347684794,1,2
68,-1.0692293945449,1,2
69,-0.517404744334327,1,2
70,-1.35895567223524,1,2
71,-0.900485972364091,1,2
72,-1.24315926804909,1,2
73,-0.862221789685935,1,2
74,-0.443341513400381,1,2
75,-1.01970587605533,1,2
76,-1.05481794009506,1,2
77,-0.866698710434978,1,2
78,-1.0926962933062,1,2
79,-1.03949889710382,1,2
80,-1.3178710099247,1,2
81,-1.3017048560311,1,2
82,-1.40934891761574,1,2
83,-1.99036302458799,1,2
84,-1.43295933660648,1,2
85,-1.21134598061861,1,2
86,-1.11754265094417,1,2
87,-0.865478444798363,1,2
88,-1.60270067015248,1,2
89,-1.68002808546749,1,2
90,-1.02469270869467,1,2
91,-0.662580718738291,1,2
92,-1.35874686346158,1,2
93,-1.47083881768408,1,2
94,-1.41919318910357,1,2
95,-1.38881554672086,1,2
96,-1.10090405164957,1,2
97,-0.798353022294918,1,2
98,-0.977595461291861,1,2
99,-1.27618761865336,1,2
100,-0.942514678676646,1,2
101,-1.49200773584907,1,3
102,-1.46574100241484,1,3
103,-1.69747391509063,1,3
104,-0.497277048994444,1,3
105,-1.12228618427874,1,3
106,-1.80524443607954,1,3
107,-1.89358585707062,1,3
108,-1.02987198077099,1,3
109,-1.48437387522149,1,3
110,-1.65351487586839,1,3
111,-0.951014361807618,1,3
112,-0.872852192528913,1,3
113,-1.01219942997466,1,3
114,-1.06599745941866,1,3
115,-1.06614623934909,1,3
116,-1.26299696766204,1,3
117,-1.36481723769085,1,3
118,-1.67471310482294,1,3
119,-1.43178019237906,1,3
120,-0.0665205651284246,1,3
121,-1.12996673698843,1,3
122,-1.36433856859125,1,3
123,-1.10741518545469,1,3
124,-1.59082059618966,1,3
125,-1.95634807185124,1,3
126,-1.4717797479406,1,3
127,-2.08801368706338,1,3
128,-1.21385992397944,1,3
