"individual","trait","population"
1,-1.32506414069426,1
2,-0.864292620059785,1
3,-1.07463767531666,1
4,-0.59606139746489,1
5,-1.32980464992636,1
6,-1.715448096705,1
7,-0.986979009054397,1
8,-1.54393045525194,1
9,-1.08135581515212,1
10,-1.22079498410026,1
11,-0.121641829279982,1
12,-1.01968761353246,1
13,-1.07354782044336,1
14,-1.35896010231091,1
15,-0.858668784474706,1
16,-0.642561390379032,1
17,-0.785537815785674,1
18,-0.465282409403561,1
19,-0.995572296032503,1
20,-0.252113631402751,1
21,-1.55149747862852,1
22,-0.740214224570659,1
23,-0.399073065040862,1
24,-0.438707909291584,1
25,-1.05350422141756,1
26,-1.59409690162072,1
27,-0.789729914710931,1
28,-0.558475047309876,1
29,-0.905502935013013,1
30,-0.940801071970415,1
31,-1.85338359321046,1
32,-0.83851109750215,1
33,-0.718093056826446,1
34,-0.911288090547884,1
35,-1.45670568144631,1
36,-1.0929608092462,1
37,-1.41166681244934,1
38,-1.3822142095377,1
39,-1.80731777736849,1
40,-1.5780502510283,1
41,-0.808565260123316,1
42,-1.19320615401503,1
43,-0.683708351340884,1
44,-0.48899751397291,1
45,-0.585427020294745,1
46,-1.39886603366707,1
47,-0.517268200520463,1
48,-0.424104084900841,1
49,-0.460384569247381,1
50,-0.557439074590593,1
51,-0.761628384963539,2
52,-1.39504053327104,2
53,-1.2861682954488,2
54,-1.01237214527415,2
55,-1.11191822845507,2
56,-1.35660520624864,2
57,-0.944110995264832,2
58,-1.35451315835263,2
59,-1.19562058807392,2
60,-1.08699246070833,2
61,-1.15424006002306,2
62,-0.519549253552345,2
63,-1.0383853704105,2
64,-0.405413856789762,2
65,-0.740560083910545,2
66,-1.028204659665,2
67,-0.939693342138308,2
68,-0.91845448837307,2
69,-1.25094470033952,2
70,-0.413449035002655,2
71,-0.892005729775307,2
72,-0.901735028821879,2
73,-0.969092588507691,2
74,-0.381220763952475,2
75,-0.359280056763358,2
76,-0.885110283188656,2
77,-0.44533522797426,2
78,-0.744597887240715,2
79,-0.994823974735199,2
80,-1.18825427362698,2
81,-1.20022055604017,2
82,-0.407464270412099,2
83,-0.614649997466028,2
84,-1.36442580889884,2
85,-0.930480738914868,2
86,-0.93103190556106,2
87,-0.893083704995386,2
88,-0.691687752933894,2
89,-0.775364157584804,2
90,-1.41583680401117,2
91,-0.162992008066475,2
92,-1.21450146560291,2
93,-1.01599030800663,2
94,-0.845775939019161,2
95,-0.785675804390065,2
96,-1.18939264410966,2
97,-0.801693248968858,2
98,-1.36427418795767,2
99,-1.10297540960588,2
100,-1.08283897285699,2
101,-0.176222069507307,3
102,-0.964294177822079,3
103,-1.11828056891099,3
104,-1.30360656107423,3
105,-0.592087313634143,3
106,-0.358002480663021,3
107,-0.680486347027611,3
108,-0.906806602137918,3
109,-0.582622906827323,3
110,-0.823242833428838,3
111,-0.953063778959445,3
112,-0.64188060050314,3
113,-1.32596478124814,3
114,-0.884186315588724,3
115,-0.649801428894611,3
116,-0.480432114355822,3
117,-0.994345920995201,3
118,-0.934843993248456,3
119,-0.740876281725852,3
120,-0.490645262587249,3
121,-0.907217580856907,3
122,-1.48673064125958,3
123,-1.35394567187666,3
124,-1.79089275417091,3
125,-0.948377410736646,3
126,-0.545922346514053,3
127,-1.23203121544287,3
128,-0.829457948841905,3
129,-0.499948883787157,3
130,-1.19505327170795,3
131,-0.482092318586091,3
132,-0.744448974009513,3
133,-0.68173668169215,3
134,-1.37155966669766,3
135,-0.755807678159184,3
136,-0.182021981845517,3
137,-0.692777749538775,3
138,-0.895472115697359,3
139,-0.623445249870675,3
140,-0.578587212809005,3
141,-1.03872294007316,3
142,-1.03749698159334,3
143,-1.13565036972934,3
144,-1.09415563244786,3
145,-1.06088883393522,3
146,-0.758632671964581,3
147,-1.04444819017291,3
148,-1.04702827947381,3
149,-0.270479800613718,3
150,-0.738856112430289,3
151,-0.622457130357124,4
152,-0.884976316970996,4
153,-0.248864670801913,4
154,-0.204011917675753,4
155,-0.31911902507333,4
156,0.141800854716978,4
157,-0.908663477203836,4
158,0.232775915576368,4
159,-0.222141944274535,4
160,-0.18508412050358,4
161,-0.245304332620887,4
162,-0.194957171367672,4
163,0.428399577015981,4
164,-0.632920612349706,4
165,-0.830099137442145,4
166,-0.0242180218895356,4
167,-0.261783389306775,4
168,-0.212500232519582,4
169,-0.24921090494917,4
170,-0.503411506517032,4
171,-0.717013102247758,4
172,-0.353779154169499,4
173,0.420888863970871,4
174,0.0515535890829499,4
175,-0.876642848287533,4
176,-0.283560841098005,4
177,0.177846440335539,4
178,0.0114817388508367,4
179,-0.475373957519665,4
180,-0.153693873187078,4
181,0.139889860227888,4
182,-0.751118798339609,4
183,0.142039227803887,4
184,-0.415171793259309,4
185,-0.242222725032811,4
186,-0.683660232986054,4
187,-0.0528458181039771,4
188,0.353664594859995,4
189,-0.21846758698802,4
190,-0.427155858130652,4
191,-0.771323429480594,4
192,-0.721884572728583,4
193,-0.322658096821404,4
194,0.217110441446557,4
195,-0.201150129958172,4
196,-1.09951528434127,4
197,-0.228198831981298,4
198,-0.491682069243988,4
199,-0.365939824332158,4
200,-0.746340676533025,4
201,-0.232603050864191,5
202,-0.302440051339649,5
203,0.0558635489018854,5
204,-0.739875825083158,5
205,-0.09221318203214,5
206,0.423091985574618,5
207,-0.462543728825015,5
208,0.227373589458349,5
209,0.272743492462435,5
210,0.101792925087037,5
211,-0.332765983004406,5
212,-0.399888071313332,5
213,-0.534332552683646,5
214,-0.155756457933883,5
215,-0.715972385725611,5
216,-0.0595132762564451,5
217,-0.252945290664215,5
218,-0.100937975169526,5
219,0.104692559862881,5
220,-0.183975343570363,5
221,0.0751788532465688,5
222,-0.611879877859677,5
223,-0.421404061231201,5
224,-0.27640314609643,5
225,-0.423937509341799,5
226,-0.0829595216196138,5
227,-0.267516910791185,5
228,0.344213952903565,5
229,-0.371212587490534,5
230,-0.18466698475782,5
231,-0.0399644978079908,5
232,-0.309763872740596,5
233,-0.815855549035951,5
234,-0.314835848500408,5
235,0.585480760376952,5
236,0.0207807360621614,5
237,0.0789025090366643,5
238,-0.00375112067425109,5
239,-0.331318707533942,5
240,-0.0199496617814011,5
241,0.134519755721408,5
242,0.809196127681569,5
243,0.328608632664096,5
244,0.615192979691994,5
245,0.780727640972307,5
246,0.20570023131768,5
247,0.117857356565598,5
248,0.42516453091915,5
249,-0.199550931480359,5
250,0.367101606986548,5
251,0.400448040371158,6
252,0.886612692886162,6
253,1.60125266648208,6
254,1.2909092078438,6
255,0.529311840969152,6
256,0.887283667047475,6
257,1.33745363093548,6
258,1.15050490905379,6
259,0.936948411938381,6
260,1.36810769466464,6
261,0.790223610729851,6
262,0.830849794416463,6
263,0.492385558119404,6
264,0.785164861130832,6
265,1.06177445921452,6
266,0.488579217919111,6
267,1.05050295055484,6
268,0.647970660881734,6
269,0.678743842397185,6
270,0.33483488164246,6
271,0.934785245977166,6
272,0.885426899326306,6
273,0.654680363701941,6
274,0.146633660924573,6
275,0.88674030259892,6
276,0.560576216844616,6
277,0.904039752346966,6
278,1.25701671257823,6
279,1.04088437942433,6
280,0.54423355740536,6
281,0.553054847688142,6
282,0.116411064942381,6
283,0.536473127517062,6
284,0.687849928062209,6
285,0.463269579139213,6
286,0.206759075810619,6
287,1.57228532834578,6
288,0.708053076855313,6
289,0.492710465867558,6
290,0.802222132686506,6
291,0.671775014025142,6
292,0.414545006775666,6
293,1.149042058943,6
294,1.10536862654225,6
295,0.742877783621742,6
296,0.715120627337046,6
297,0.511379730558398,6
298,1.13515304021247,6
299,0.709388265074602,6
300,0.939171611045768,6
301,1.26204092298247,7
302,0.835853972073551,7
303,0.686302920058021,7
304,0.835030277528954,7
305,0.842911280888499,7
306,0.602993711943846,7
307,0.212626623199522,7
308,1.01059235904565,7
309,1.03684954939801,7
310,0.907200533774449,7
311,1.20495851317288,7
312,1.55814155790852,7
313,0.951736051024544,7
314,0.964813796821929,7
315,0.844890736088692,7
316,0.997560999651564,7
317,0.941410145562915,7
318,0.832315674962304,7
319,1.76675941246753,7
320,1.65491737054278,7
321,1.49508602055269,7
322,1.65897669049504,7
323,1.43114490797264,7
324,1.21255873188142,7
325,1.2134400578742,7
326,0.827326460510809,7
327,0.777750614228331,7
328,0.926952637821322,7
329,1.55674349710532,7
330,0.973478685203241,7
331,1.38588767269897,7
332,1.54070992122248,7
333,1.63958114678653,7
334,1.42889984865083,7
335,0.941426973401998,7
336,1.55420302127626,7
337,1.20835014259268,7
338,0.975090114272686,7
339,1.5510083309539,7
340,2.24551359316553,7
341,1.2705654880586,7
342,1.80484229106493,7
343,0.665643924795986,7
344,1.23146443804562,7
345,0.90277032349831,7
346,1.28049720221498,7
347,1.14107247481349,7
348,0.74533265244168,7
349,0.970517249403792,7
350,1.31686684884814,7
351,1.20212681602157,8
352,1.16850992103437,8
353,0.661066358479429,8
354,1.41154455063092,8
355,0.990754161191423,8
356,2.13330164266023,8
357,1.37455674289468,8
358,1.54187393610137,8
359,1.0450949477208,8
360,0.919762798434509,8
